Author,No. Papers,Notes,OA_Profile,OA_ID,Papers
Congcong Wang,3,,https://openalex.org/A5111099880,A5111099880,"1, 2, 6"
Dan Du,1,,https://openalex.org/A5079462468,A5079462468,2
Dan Ye,1,,https://openalex.org/A5124954745,A5124954745,6
Davit Abrahamyan,1,,https://openalex.org/A5120650788,A5120650788,5
Dazhi Cheng,1,,https://openalex.org/A5124963103,A5124963103,6
Dehao Zhang,5,,https://openalex.org/A5046162247,A5046162247,"1, 2, 3, 4, 6"
Dikang Du,2,,https://openalex.org/A5124888575,A5124888575,"3, 6"
Dingkun Wang,1,,https://openalex.org/A5124874324,A5124874324,6
Dinglu Wang,2,,https://openalex.org/A5020652467,A5020652467,"3, 6"
Dongliang Wang,2,,https://openalex.org/A5100689748,A5100689748,"2, 6"
Dongxu Yang,1,,https://openalex.org/A5020861489,A5020861489,5
Dunyuan Zha,1,,https://openalex.org/A5124963481,A5124963481,6
E.C. Ma,1,,https://openalex.org/A5108560591,A5108560591,5
Enming Yuan,5,,https://openalex.org/A5073001520,A5073001520,"1, 2, 3, 4, 6"
Enzhe Lu,5,,https://openalex.org/A5049660040,A5049660040,"1, 2, 3, 4, 6"
Eric P. Xing,1,,https://openalex.org/A5009547049,A5009547049,5
Fang Li,3,,https://openalex.org/A5020047491,A5020047491,"2, 3, 6"
Fanqing Meng,2,,https://openalex.org/A5124938054,A5124938054,"4, 6"
Feifan Song,2,,https://openalex.org/A5124874731,A5124874731,"3, 6"
Feifan Zhao,1,,https://openalex.org/A5124926511,A5124926511,6
Feng Wang,3,,https://openalex.org/A5124890131,A5124890131,"3, 4, 6"
Fengxiang Tang,1,,https://openalex.org/A5016863879,A5016863879,1
Flood Sung,4,,https://openalex.org/A5065232789,A5065232789,"1, 2, 3, 6"
Ganesh Bannur,1,,https://openalex.org/A5120650789,A5120650789,5
Gang Wei,2,,https://openalex.org/A5100367486,A5100367486,"1, 2"
Garimugai Fu,1,,https://openalex.org/A5124902442,A5124902442,6
Guanduo Chen,3,,https://openalex.org/A5124892488,A5124892488,"3, 4, 6"
Guanghe Li,1,,https://openalex.org/A5124963048,A5124963048,6
Guangyao Yang,1,,https://openalex.org/A5124941043,A5124941043,6
Guangyi Liu,1,,https://openalex.org/A5100737333,A5100737333,5
Guanyu Li,1,,https://openalex.org/A5124917854,A5124917854,6
Guohong Fu,1,,,,4
Guokun Lai,5,,https://openalex.org/A5015579277,A5015579277,"1, 2, 3, 4, 6"
H. Q. Lu,1,,https://openalex.org/A5083840550,A5083840550,2
H. S. Che,1,,https://openalex.org/A5124936566,A5124936566,6
H. W. Zhao,1,,https://openalex.org/A5107832792,A5107832792,1
Hailong Wang,1,,,,3
Haiming Wang,2,,,,"3, 4"
Haiqing Guo,2,,https://openalex.org/A5065155216,A5065155216,"1, 3"
Haitao Li,1,,https://openalex.org/A5124961813,A5124961813,6
Haiting Chen,1,,,,3
Han Zhu,1,,https://openalex.org/A5009970981,A5009970981,1
Hanyun Ren,1,,https://openalex.org/A5101932492,A5101932492,5
Hao Ding,4,,https://openalex.org/A5005056208,A5005056208,"1, 2, 3, 6"
Hao Hu,4,,https://openalex.org/A5084214981,A5084214981,"1, 2, 3, 6"
Hao Yang,3,,https://openalex.org/A5101457978,A5101457978,"2, 3, 6"
Hao Zhang,4,,https://openalex.org/A5100732538,A5100732538,"1, 2, 3, 6"
Hao-Tsung Yang,1,,https://openalex.org/A5060610248,A5060610248,1
Haobing Zhan,2,,https://openalex.org/A5124887653,A5124887653,"3, 6"
Haoning Wu,3,,https://openalex.org/A5039135087,A5039135087,"2, 3, 6"
Haotian Yao,4,,https://openalex.org/A5071838616,A5071838616,"1, 2, 3, 6"
Haotian Zhao,1,,,,3
Haoyang Li,2,,https://openalex.org/A5124917712,A5124917712,"3, 6"
Haoyu Lu,3,,https://openalex.org/A5110986785,A5110986785,"1, 3, 6"
Haoze Li,1,,https://openalex.org/A5008912573,A5008912573,1
Haozhen Yu,1,,https://openalex.org/A5022218311,A5022218311,1
Heng Wang,1,,https://openalex.org/A5100453945,A5100453945,2
Hengzhi Wang,1,,https://openalex.org/A5124874005,A5124874005,6
Heyi Tang,2,,https://openalex.org/A5124949263,A5124949263,"3, 6"
Hongbang Yuan,1,,,,3
Hongcheng Gao,4,,https://openalex.org/A5110370692,A5110370692,"1, 2, 3, 6"
