id,institution_name,direct_author_count,total_author_count,direct_works_count,total_works_count,direct_citations,total_citations,num_children,num_ancestors,has_parent,is_parent
https://openalex.org/I55732556,Arizona State University,1,1,167199,167199,6107304,6107304,1,1,True,True
https://openalex.org/I1309191912,Research Triangle Park Foundation,1,1,27371,27371,1466025,1466025,0,0,False,False
https://openalex.org/I77920804,Albany Medical Center Hospital,1,1,22131,22131,693492,693492,0,0,False,False
https://openalex.org/I4210105785,Intelligent Systems Research (United States),1,1,818,818,17994,17994,0,0,False,False
https://openalex.org/I182386381,Zunyi Medical University,1,1,11133,11133,107489,107489,0,0,False,False
https://openalex.org/I4388891891,Southwestern Medical Center,1,1,21202,21202,607766,607766,0,0,False,False
https://openalex.org/I51317819,Institute of Medical Sciences,1,1,43321,43321,384995,384995,0,1,True,False
https://openalex.org/I4210147538,Airborne International (Netherlands),1,1,45,45,164,164,0,0,False,False
https://openalex.org/I4068193,University of Belgrade,1,1,91632,91632,1514648,1514648,42,0,False,True
https://openalex.org/I33213144,University of Florida,1,1,319191,319191,10098054,10098054,5,1,True,True
https://openalex.org/I4210099135,Wuhan Institute of Physics and Mathematics,1,1,6092,6092,149845,149845,1,1,True,True
https://openalex.org/I4210106258,Harvard College Observatory,1,1,2845,2845,71723,71723,0,3,True,False
https://openalex.org/I161370692,Sanjay Gandhi Post Graduate Institute of Medical Sciences,1,1,13816,13816,274126,274126,0,0,False,False
https://openalex.org/I200280692,Lviv University,1,1,17226,17226,79459,79459,0,0,False,False
https://openalex.org/I59606676,Universidade Federal do Pará,1,1,43132,43132,374098,374098,0,0,False,False
https://openalex.org/I158248296,Amirkabir University of Technology,1,1,43207,43207,827862,827862,0,0,False,False
https://openalex.org/I108290504,University of Pisa,1,1,115102,115102,3237803,3237803,0,0,False,False
https://openalex.org/I2801562743,Cisco College,1,1,224,224,2668,2668,0,0,False,False
https://openalex.org/I184942183,University of Oslo,1,1,154902,154902,5315913,5315913,0,0,False,False
https://openalex.org/I2801862477,Canada Research Chairs,1,1,5382,5382,194963,194963,0,1,True,False
https://openalex.org/I79884896,University of Illinois at Springfield,1,1,3306,3306,57019,57019,0,1,True,False
https://openalex.org/I4210093632,Rockefeller University Hospital,1,1,901,901,48896,48896,0,0,False,False
https://openalex.org/I4210134724,PTC Therapeutics (United States),1,1,433,433,12448,12448,0,0,False,False
https://openalex.org/I4210113003,Physical Sciences (United States),1,1,6628,6628,172233,172233,0,0,False,False
https://openalex.org/I53888640,National Defense Medical College,1,1,11927,11927,270377,270377,0,0,False,False
